client,brand,use_case_name,extract_date,start_date,end_date,analysis_level,granularity,channel,place_channel,path,description,avg_time,mean_time,avg_time_non_ntb,mean_time_non_ntb,avg_time_ntb,mean_time_ntb,impressions_all_users,impressions_cost_all_users,clicks_all_users,reach,impressions_brand_store,impressions,impressions_cost,clicks,user_video_clicks_views,video_clicks_views,user_video_midpoint_views,video_midpoint_views,user_video_third_quartile_views,video_third_quartile_views,user_video_first_quartile_views,video_first_quartile_views,user_video_complete_views,video_complete_views,video_pause_views,video_replay_views,video_resume_views,video_unmute_views,video_mute_views,video_skip_backward_views,video_skip_forward_views,user_detail_page_view,detail_page_view,user_detail_page_view_clicks,detail_page_view_clicks,user_detail_page_view_views,detail_page_view_views,user_add_to_cart,add_to_cart,user_add_to_cart_clicks,add_to_cart_clicks,user_add_to_cart_views,add_to_cart_views,user_total_detail_page_view,total_detail_page_view,user_total_detail_page_view_clicks,total_detail_page_view_clicks,user_total_detail_page_view_views,total_detail_page_view_views,user_total_add_to_cart,total_add_to_cart,user_total_add_to_cart_clicks,total_add_to_cart_clicks,user_total_add_to_cart_views,total_add_to_cart_views,user_purchased,product_sales,purchases,units_sold,user_total_purchased,total_purchases,total_product_sales,total_units_sold,ntb_purchased,ntb_product_sales,ntb_purchases,ntb_units_sold,ntb_total_purchased,total_ntb_purchases,total_ntb_product_sales,total_ntb_units_sold
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Media Mix,Channel,"","","[1/DSP BRAND STORE, 2/SEARCH BRAND STORE]",Media Mix per channel (levier in french),"","","","","","",0,0.0,0,3163,0,35780,5.948197859999999,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,4,6,12,0,0,6,12,3,6,0,0,3,6,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Channel,"","","[1/SEARCH, 2/SEARCH BRAND STORE, 3/BRAND STORE, 4/DSP]",Path to conversion per channel (levier in french),"","","","","","",0,0.0,0,61,74,13473,273.8689716100001,207,0,0,26,51,20,40,40,89,17,29,0,0,0,0,0,0,0,51,420,50,417,2,3,0,0,0,0,0,0,53,575,52,572,2,3,0,0,0,0,0,0,14,484.8000,23,23,16,25,550.0900,25,12,279.3300,14,14,14,16,344.6200,16
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","[1/DSP, 2/SEARCH, 3/SEARCH BRAND STORE, 4/BRAND STORE]",Path to conversion per format (format in french),"","","","","","",0,0.0,0,30,35,3501,118.46581284000001,56,0,0,9,23,6,14,10,36,6,8,0,0,0,0,0,0,0,14,73,14,71,1,2,0,0,0,0,0,0,14,89,14,85,2,4,1,1,0,0,1,1,7,171.1900,11,12,7,13,210.6200,14,2,68.3200,5,5,2,5,68.3200,5
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Channel,"","","[1/SEARCH BRAND STORE, 2/BRAND STORE, 3/SEARCH, 4/DSP]",Path to conversion per channel (levier in french),"","","","","","",0,0.0,0,6,6,138,13.51275389,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,1,20.4200,1,1,1,1,20.4200,1,1,20.4200,1,1,1,1,20.4200,1
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","",Path to conversion per format (format in french),"","","","","","",0,0.0,0,1,1,48,1.08049062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","",Path to conversion per format (format in french),"","","","","","",0,0.0,0,4,4,314,0.31378444,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Media Mix,Channel,"","","[1/SEARCH, 2/SEARCH BRAND STORE]",Media Mix per channel (levier in french),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,213028,0,6086538,16769.660000000018,25427,0,0,19692,28727,14441,19582,30646,52040,11310,14645,0,0,0,41,0,0,0,12348,42260,12330,42203,30,57,28,36,2,2,26,34,12531,51347,12454,51090,98,257,76,98,3,3,73,95,2793,95775.5900,4050,4163,3100,4877,114512.2600,5016,1750,55908.7100,2293,2348,1961,2682,64312.8000,2746
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","[1/DSP, 2/SEARCH, 3/SEARCH BRAND STORE, 4/DSP BRAND STORE]",Path to conversion per format (format in french),"","","","","","",0,0.0,0,1405,0,134079,456.4746771700002,664,0,0,267,467,197,309,383,829,156,218,0,0,0,0,0,0,0,330,1522,268,1221,124,301,55,74,1,3,54,71,388,2259,275,1560,202,699,108,192,2,4,106,188,98,2743.5800,136,141,124,195,4237.2400,205,35,830.0500,45,46,40,52,996.0300,53
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Channel,"","","[1/SEARCH, 2/DSP, 3/SEARCH BRAND STORE]",Path to conversion per channel (levier in french),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,20851,0,3051539,15037.830594579991,21699,0,0,6998,14577,5554,10164,9485,25847,4512,7697,0,0,0,29,0,0,0,7817,46947,7194,42674,1748,4273,903,1308,34,53,876,1255,8198,62809,7252,53660,2580,9149,1421,2575,40,73,1397,2502,2331,92656.8500,3729,3792,2793,4907,121352.5500,4990,1041,35986.9700,1375,1386,1213,1677,42798.8000,1691
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","",Path to conversion per format (format in french),"","","","","","",0,0.0,0,1,1,14,1.60214506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
